,request_id,pickup_point,driver_id,status,request_timestamp,drop_timestamp,request_time,drop_time,DayOfWeekNum,DayOfWeek,MonthDayNum,HourOfDay,MinOfDay,duration in minutes,hour
37,6106,Airport,4.0,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,15:01:20,15:47:31,4,Friday,15,15,1,-46.18333333333333,15
38,312,City,5.0,Trip Completed,2016-11-07 07:27:00,2016-11-07 08:31:00,07:27:00,08:31:00,0,Monday,7,7,27,-64.0,7
39,577,Airport,5.0,Trip Completed,2016-11-07 11:03:00,2016-11-07 12:01:00,11:03:00,12:01:00,0,Monday,7,11,3,-58.0,11
40,1179,City,5.0,Trip Completed,2016-11-07 20:58:00,2016-11-07 21:45:00,20:58:00,21:45:00,0,Monday,7,20,58,-47.0,20
41,1756,Airport,5.0,Trip Completed,2016-12-07 08:40:00,2016-12-07 09:23:00,08:40:00,09:23:00,2,Wednesday,7,8,40,-43.0,8
42,2052,City,5.0,Trip Completed,2016-12-07 14:48:00,2016-12-07 15:50:00,14:48:00,15:50:00,2,Wednesday,7,14,48,-62.0,14
43,2559,City,5.0,Trip Completed,2016-12-07 21:32:00,2016-12-07 22:29:00,21:32:00,22:29:00,2,Wednesday,7,21,32,-57.0,21
44,3014,City,5.0,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47,07:28:14,08:29:47,2,Wednesday,13,7,28,-61.55,7
45,3317,City,5.0,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38,12:14:27,12:46:38,2,Wednesday,13,12,14,-32.18333333333333,12
46,4297,City,5.0,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38,06:43:01,07:49:38,3,Thursday,14,6,43,-66.61666666666666,6
47,5857,Airport,5.0,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07,09:08:50,10:07:07,4,Friday,15,9,8,-58.28333333333333,9
48,6690,Airport,5.0,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00,22:41:41,23:51:00,4,Friday,15,22,41,-69.31666666666666,22
49,1517,Airport,6.0,Trip Completed,2016-12-07 05:45:00,2016-12-07 06:28:00,05:45:00,06:28:00,2,Wednesday,7,5,45,-43.0,5
50,1999,Airport,6.0,Trip Completed,2016-12-07 13:02:00,2016-12-07 13:51:00,13:02:00,13:51:00,2,Wednesday,7,13,2,-49.0,13
51,2960,Airport,6.0,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35,06:50:33,07:40:35,2,Wednesday,13,6,50,-50.03333333333333,6
52,3882,City,6.0,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24,21:53:03,22:45:24,2,Wednesday,13,21,53,-52.35,21
53,4081,Airport,6.0,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27,02:37:14,03:30:27,3,Thursday,14,2,37,-53.21666666666667,2
54,4740,City,6.0,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14,14:50:07,15:38:14,3,Thursday,14,14,50,-48.11666666666667,14
55,5270,City,6.0,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43,21:33:55,22:25:43,3,Thursday,14,21,33,-51.8,21
56,6758,Airport,6.0,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39,00:03:39,01:07:39,4,Friday,15,0,3,-64.0,0
57,5741,City,6.0,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55,07:52:51,08:38:55,4,Friday,15,7,52,-46.06666666666667,7
58,6087,Airport,6.0,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53,14:28:50,15:33:53,4,Friday,15,14,28,-65.05,14
59,1039,City,7.0,Trip Completed,2016-11-07 19:31:00,2016-11-07 20:41:00,19:31:00,20:41:00,0,Monday,7,19,31,-70.0,19
60,1273,Airport,7.0,Trip Completed,2016-11-07 22:07:00,2016-11-07 23:12:00,22:07:00,23:12:00,0,Monday,7,22,7,-65.0,22
61,2480,City,7.0,Trip Completed,2016-12-07 20:39:00,2016-12-07 21:28:00,20:39:00,21:28:00,2,Wednesday,7,20,39,-49.0,20
62,4105,City,7.0,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04,03:39:38,04:39:04,3,Thursday,14,3,39,-59.43333333333333,3
63,4509,City,7.0,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01,09:11:13,10:17:01,3,Thursday,14,9,11,-65.8,9
64,4986,Airport,7.0,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57,18:52:32,19:50:57,3,Thursday,14,18,52,-58.416666666666664,18
65,5898,City,7.0,Trip Completed,2016-07-15 09:50:28,2016-07-15 10:40:39,09:50:28,10:40:39,4,Friday,15,9,50,-50.18333333333333,9
66,6142,Airport,7.0,Trip Completed,2016-07-15 15:50:15,2016-07-15 16:36:56,15:50:15,16:36:56,4,Friday,15,15,50,-46.68333333333333,15
67,380,Airport,8.0,Trip Completed,2016-11-07 08:18:00,2016-11-07 09:18:00,08:18:00,09:18:00,0,Monday,7,8,18,-60.0,8
68,1050,Airport,8.0,Trip Completed,2016-11-07 19:39:00,2016-11-07 20:30:00,19:39:00,20:30:00,0,Monday,7,19,39,-51.0,19
69,1769,City,8.0,Trip Completed,2016-12-07 08:57:00,2016-12-07 09:24:00,08:57:00,09:24:00,2,Wednesday,7,8,57,-27.0,8
70,2520,City,8.0,Trip Completed,2016-12-07 21:05:00,2016-12-07 22:20:00,21:05:00,22:20:00,2,Wednesday,7,21,5,-75.0,21
71,3265,Airport,8.0,Trip Completed,2016-07-13 10:22:07,2016-07-13 11:07:02,10:22:07,11:07:02,2,Wednesday,13,10,22,-44.916666666666664,10
72,4648,City,8.0,Trip Completed,2016-07-14 11:55:10,2016-07-14 12:59:34,11:55:10,12:59:34,3,Thursday,14,11,55,-64.4,11
73,449,Airport,9.0,Trip Completed,2016-11-07 09:08:00,2016-11-07 09:52:00,09:08:00,09:52:00,0,Monday,7,9,8,-44.0,9
74,846,Airport,9.0,Trip Completed,2016-11-07 17:46:00,2016-11-07 18:52:00,17:46:00,18:52:00,0,Monday,7,17,46,-66.0,17
75,1346,Airport,9.0,Trip Completed,2016-11-07 23:39:00,2016-12-07 00:23:00,23:39:00,00:23:00,0,Monday,7,23,39,-41804.0,23
76,1474,Airport,9.0,Trip Completed,2016-12-07 05:13:00,2016-12-07 05:56:00,05:13:00,05:56:00,2,Wednesday,7,5,13,-43.0,5
77,2240,City,9.0,Trip Completed,2016-12-07 18:20:00,2016-12-07 18:54:00,18:20:00,18:54:00,2,Wednesday,7,18,20,-34.0,18
78,3072,Airport,9.0,Trip Completed,2016-07-13 08:04:57,2016-07-13 08:36:37,08:04:57,08:36:37,2,Wednesday,13,8,4,-31.666666666666668,8
79,3459,Airport,9.0,Trip Completed,2016-07-13 17:03:30,2016-07-13 17:31:49,17:03:30,17:31:49,2,Wednesday,13,17,3,-28.316666666666666,17
80,3774,Airport,9.0,Trip Completed,2016-07-13 20:41:24,2016-07-13 21:27:29,20:41:24,21:27:29,2,Wednesday,13,20,41,-46.083333333333336,20
81,4023,City,9.0,Trip Completed,2016-07-13 23:58:41,2016-07-14 00:58:39,23:58:41,00:58:39,2,Wednesday,13,23,58,-59.96666666666667,23
82,4117,City,9.0,Trip Completed,2016-07-14 04:21:42,2016-07-14 05:07:07,04:21:42,05:07:07,3,Thursday,14,4,21,-45.416666666666664,4
83,4880,Airport,9.0,Trip Completed,2016-07-14 17:58:46,2016-07-14 19:02:42,17:58:46,19:02:42,3,Thursday,14,17,58,-63.93333333333333,17
84,5568,Airport,9.0,Trip Completed,2016-07-15 05:47:49,2016-07-15 06:25:49,05:47:49,06:25:49,4,Friday,15,5,47,-38.0,5
85,5994,Airport,9.0,Trip Completed,2016-07-15 11:51:16,2016-07-15 12:32:12,11:51:16,12:32:12,4,Friday,15,11,51,-40.93333333333333,11
86,1809,Airport,10.0,Trip Completed,2016-12-07 09:13:00,2016-12-07 10:01:00,09:13:00,10:01:00,2,Wednesday,7,9,13,-48.0,9
87,2064,Airport,10.0,Trip Completed,2016-12-07 15:08:00,2016-12-07 16:14:00,15:08:00,16:14:00,2,Wednesday,7,15,8,-66.0,15
88,3210,City,10.0,Trip Completed,2016-07-13 09:47:06,2016-07-13 10:52:37,09:47:06,10:52:37,2,Wednesday,13,9,47,-65.51666666666667,9
89,4350,City,10.0,Trip Completed,2016-07-14 07:24:43,2016-07-14 08:22:09,07:24:43,08:22:09,3,Thursday,14,7,24,-57.43333333333333,7
90,4713,City,10.0,Trip Completed,2016-07-14 13:31:24,2016-07-14 14:10:56,13:31:24,14:10:56,3,Thursday,14,13,31,-39.53333333333333,13
91,5629,Airport,10.0,Trip Completed,2016-07-15 06:33:00,2016-07-15 07:19:53,06:33:00,07:19:53,4,Friday,15,6,33,-46.88333333333333,6
92,6157,Airport,10.0,Trip Completed,2016-07-15 16:32:51,2016-07-15 17:44:44,16:32:51,17:44:44,4,Friday,15,16,32,-71.88333333333334,16
93,2030,City,11.0,Trip Completed,2016-12-07 14:11:00,2016-12-07 15:02:00,14:11:00,15:02:00,2,Wednesday,7,14,11,-51.0,14
94,3226,City,11.0,Trip Completed,2016-07-13 10:00:17,2016-07-13 11:02:52,10:00:17,11:02:52,2,Wednesday,13,10,0,-62.583333333333336,10
95,3353,City,11.0,Trip Completed,2016-07-13 13:29:44,2016-07-13 14:09:00,13:29:44,14:09:00,2,Wednesday,13,13,29,-39.266666666666666,13
96,4293,City,11.0,Trip Completed,2016-07-14 06:42:36,2016-07-14 07:12:41,06:42:36,07:12:41,3,Thursday,14,6,42,-30.083333333333332,6
97,4936,City,11.0,Trip Completed,2016-07-14 18:22:17,2016-07-14 19:14:36,18:22:17,19:14:36,3,Thursday,14,18,22,-52.31666666666667,18
98,5661,Airport,11.0,Trip Completed,2016-07-15 07:08:50,2016-07-15 07:59:00,07:08:50,07:59:00,4,Friday,15,7,8,-50.166666666666664,7
99,5778,City,11.0,Trip Completed,2016-07-15 08:22:03,2016-07-15 09:13:04,08:22:03,09:13:04,4,Friday,15,8,22,-51.016666666666666,8
100,6425,Airport,11.0,Trip Completed,2016-07-15 19:46:40,2016-07-15 20:26:51,19:46:40,20:26:51,4,Friday,15,19,46,-40.18333333333333,19
101,45,Airport,12.0,Trip Completed,2016-11-07 03:17:00,2016-11-07 04:09:00,03:17:00,04:09:00,0,Monday,7,3,17,-52.0,3
102,264,City,12.0,Trip Completed,2016-11-07 06:51:00,2016-11-07 07:40:00,06:51:00,07:40:00,0,Monday,7,6,51,-49.0,6
103,1183,City,12.0,Trip Completed,2016-11-07 21:05:00,2016-11-07 21:38:00,21:05:00,21:38:00,0,Monday,7,21,5,-33.0,21
104,1536,Airport,12.0,Trip Completed,2016-12-07 05:59:00,2016-12-07 06:59:00,05:59:00,06:59:00,2,Wednesday,7,5,59,-60.0,5
105,2437,City,12.0,Trip Completed,2016-12-07 20:18:00,2016-12-07 21:26:00,20:18:00,21:26:00,2,Wednesday,7,20,18,-68.0,20
106,2641,Airport,12.0,Trip Completed,2016-12-07 22:28:00,2016-12-07 23:05:00,22:28:00,23:05:00,2,Wednesday,7,22,28,-37.0,22
107,4077,Airport,12.0,Trip Completed,2016-07-14 02:14:15,2016-07-14 03:13:09,02:14:15,03:13:09,3,Thursday,14,2,14,-58.9,2
108,4610,City,12.0,Trip Completed,2016-07-14 10:35:14,2016-07-14 11:39:01,10:35:14,11:39:01,3,Thursday,14,10,35,-63.78333333333333,10
109,5066,Airport,12.0,Trip Completed,2016-07-14 19:31:20,2016-07-14 20:14:03,19:31:20,20:14:03,3,Thursday,14,19,31,-42.71666666666667,19
110,5666,Airport,12.0,Trip Completed,2016-07-15 07:04:55,2016-07-15 08:12:37,07:04:55,08:12:37,4,Friday,15,7,4,-67.7,7
111,5923,City,12.0,Trip Completed,2016-07-15 10:07:49,2016-07-15 10:50:50,10:07:49,10:50:50,4,Friday,15,10,7,-43.016666666666666,10
112,6367,City,12.0,Trip Completed,2016-07-15 19:04:46,2016-07-15 19:46:04,19:04:46,19:46:04,4,Friday,15,19,4,-41.3,19
113,155,City,13.0,Trip Completed,2016-11-07 05:32:00,2016-11-07 06:28:00,05:32:00,06:28:00,0,Monday,7,5,32,-56.0,5
114,310,Airport,13.0,Trip Completed,2016-11-07 07:24:00,2016-11-07 08:28:00,07:24:00,08:28:00,0,Monday,7,7,24,-64.0,7
115,607,City,13.0,Trip Completed,2016-11-07 11:51:00,2016-11-07 12:42:00,11:51:00,12:42:00,0,Monday,7,11,51,-51.0,11
116,1012,City,13.0,Trip Completed,2016-11-07 19:15:00,2016-11-07 19:57:00,19:15:00,19:57:00,0,Monday,7,19,15,-42.0,19
117,1696,Airport,13.0,Trip Completed,2016-12-07 08:01:00,2016-12-07 08:42:00,08:01:00,08:42:00,2,Wednesday,7,8,1,-41.0,8
118,3076,City,13.0,Trip Completed,2016-07-13 08:09:04,2016-07-13 09:12:19,08:09:04,09:12:19,2,Wednesday,13,8,9,-63.25,8
119,4198,Airport,13.0,Trip Completed,2016-07-14 05:32:14,2016-07-14 06:45:32,05:32:14,06:45:32,3,Thursday,14,5,32,-73.3,5
120,4627,City,13.0,Trip Completed,2016-07-14 11:13:19,2016-07-14 12:00:12,11:13:19,12:00:12,3,Thursday,14,11,13,-46.88333333333333,11
121,5289,City,13.0,Trip Completed,2016-07-14 21:43:24,2016-07-14 22:24:13,21:43:24,22:24:13,3,Thursday,14,21,43,-40.81666666666667,21
122,5495,Airport,13.0,Trip Completed,2016-07-15 05:00:13,2016-07-15 06:02:27,05:00:13,06:02:27,4,Friday,15,5,0,-62.233333333333334,5
123,6656,Airport,13.0,Trip Completed,2016-07-15 22:08:42,2016-07-15 22:41:18,22:08:42,22:41:18,4,Friday,15,22,8,-32.6,22
124,139,Airport,14.0,Trip Completed,2016-11-07 05:21:00,2016-11-07 06:09:00,05:21:00,06:09:00,0,Monday,7,5,21,-48.0,5
125,215,City,14.0,Trip Completed,2016-11-07 06:15:00,2016-11-07 07:07:00,06:15:00,07:07:00,0,Monday,7,6,15,-52.0,6
126,1816,City,14.0,Trip Completed,2016-12-07 09:24:00,2016-12-07 10:07:00,09:24:00,10:07:00,2,Wednesday,7,9,24,-43.0,9
127,2505,Airport,14.0,Trip Completed,2016-12-07 21:03:00,2016-12-07 22:14:00,21:03:00,22:14:00,2,Wednesday,7,21,3,-71.0,21
128,3346,City,14.0,Trip Completed,2016-07-13 13:01:42,2016-07-13 13:55:59,13:01:42,13:55:59,2,Wednesday,13,13,1,-54.28333333333333,13
129,5294,City,14.0,Trip Completed,2016-07-14 21:45:50,2016-07-14 22:16:40,21:45:50,22:16:40,3,Thursday,14,21,45,-30.833333333333332,21
130,6226,Airport,14.0,Trip Completed,2016-07-15 17:34:25,2016-07-15 18:33:13,17:34:25,18:33:13,4,Friday,15,17,34,-58.8,17
131,6733,Airport,14.0,Trip Completed,2016-07-15 23:32:44,2016-07-16 00:37:46,23:32:44,00:37:46,4,Friday,15,23,32,-65.03333333333333,23
132,1027,Airport,15.0,Trip Completed,2016-11-07 19:18:00,2016-11-07 20:24:00,19:18:00,20:24:00,0,Monday,7,19,18,-66.0,19
133,2675,Airport,15.0,Trip Completed,2016-12-07 23:43:00,2016-07-13 00:35:12,23:43:00,00:35:12,2,Wednesday,7,23,43,213067.8,23
134,3200,City,15.0,Trip Completed,2016-07-13 09:39:44,2016-07-13 10:30:58,09:39:44,10:30:58,2,Wednesday,13,9,39,-51.233333333333334,9
135,3865,City,15.0,Trip Completed,2016-07-13 21:52:05,2016-07-13 22:21:15,21:52:05,22:21:15,2,Wednesday,13,21,52,-29.166666666666668,21
136,4468,City,15.0,Trip Completed,2016-07-14 08:42:46,2016-07-14 09:22:01,08:42:46,09:22:01,3,Thursday,14,8,42,-39.25,8
137,5163,Airport,15.0,Trip Completed,2016-07-14 20:34:30,2016-07-14 21:05:18,20:34:30,21:05:18,3,Thursday,14,20,34,-30.8,20
138,6009,City,15.0,Trip Completed,2016-07-15 12:22:35,2016-07-15 13:25:27,12:22:35,13:25:27,4,Friday,15,12,22,-62.86666666666667,12
139,6448,Airport,15.0,Trip Completed,2016-07-15 20:02:54,2016-07-15 20:40:45,20:02:54,20:40:45,4,Friday,15,20,2,-37.85,20
140,591,City,16.0,Trip Completed,2016-11-07 11:25:00,2016-11-07 12:31:00,11:25:00,12:31:00,0,Monday,7,11,25,-66.0,11
141,709,City,16.0,Trip Completed,2016-11-07 14:16:00,2016-11-07 15:03:00,14:16:00,15:03:00,0,Monday,7,14,16,-47.0,14
142,1167,Airport,16.0,Trip Completed,2016-11-07 20:50:00,2016-11-07 21:52:00,20:50:00,21:52:00,0,Monday,7,20,50,-62.0,20
143,2661,Airport,16.0,Trip Completed,2016-12-07 23:23:00,2016-07-13 00:27:21,23:23:00,00:27:21,2,Wednesday,7,23,23,213055.65,23
144,2808,City,16.0,Trip Completed,2016-07-13 05:05:16,2016-07-13 05:56:11,05:05:16,05:56:11,2,Wednesday,13,5,5,-50.916666666666664,5
145,3258,Airport,16.0,Trip Completed,2016-07-13 10:12:51,2016-07-13 10:45:28,10:12:51,10:45:28,2,Wednesday,13,10,12,-32.61666666666667,10
146,3413,Airport,16.0,Trip Completed,2016-07-13 15:32:01,2016-07-13 16:45:44,15:32:01,16:45:44,2,Wednesday,13,15,32,-73.71666666666667,15
147,3939,Airport,16.0,Trip Completed,2016-07-13 22:26:26,2016-07-13 22:55:54,22:26:26,22:55:54,2,Wednesday,13,22,26,-29.466666666666665,22
148,4125,City,16.0,Trip Completed,2016-07-14 04:37:11,2016-07-14 05:46:29,04:37:11,05:46:29,3,Thursday,14,4,37,-69.3,4
149,4457,City,16.0,Trip Completed,2016-07-14 08:36:24,2016-07-14 09:19:20,08:36:24,09:19:20,3,Thursday,14,8,36,-42.93333333333333,8
150,4728,City,16.0,Trip Completed,2016-07-14 14:04:13,2016-07-14 15:06:40,14:04:13,15:06:40,3,Thursday,14,14,4,-62.45,14
151,5347,Airport,16.0,Trip Completed,2016-07-14 22:51:47,2016-07-14 23:53:42,22:51:47,23:53:42,3,Thursday,14,22,51,-61.916666666666664,22
152,6147,City,16.0,Trip Completed,2016-07-15 16:11:02,2016-07-15 17:30:08,16:11:02,17:30:08,4,Friday,15,16,11,-79.1,16
153,6496,Airport,16.0,Trip Completed,2016-07-15 20:33:00,2016-07-15 21:32:49,20:33:00,21:32:49,4,Friday,15,20,33,-59.81666666666667,20
154,634,City,17.0,Trip Completed,2016-11-07 12:25:00,2016-11-07 13:06:00,12:25:00,13:06:00,0,Monday,7,12,25,-41.0,12
155,939,Airport,17.0,Trip Completed,2016-11-07 18:25:00,2016-11-07 19:26:00,18:25:00,19:26:00,0,Monday,7,18,25,-61.0,18
156,2628,Airport,17.0,Trip Completed,2016-12-07 22:10:00,2016-12-07 23:25:00,22:10:00,23:25:00,2,Wednesday,7,22,10,-75.0,22
157,3021,City,17.0,Trip Completed,2016-07-13 07:33:20,2016-07-13 08:26:07,07:33:20,08:26:07,2,Wednesday,13,7,33,-52.78333333333333,7
158,4743,City,17.0,Trip Completed,2016-07-14 14:54:16,2016-07-14 15:39:03,14:54:16,15:39:03,3,Thursday,14,14,54,-44.78333333333333,14
159,4981,City,17.0,Trip Completed,2016-07-14 18:47:42,2016-07-14 19:43:44,18:47:42,19:43:44,3,Thursday,14,18,47,-56.03333333333333,18
160,5367,Airport,17.0,Trip Completed,2016-07-14 23:35:34,2016-07-15 00:25:26,23:35:34,00:25:26,3,Thursday,14,23,35,-49.86666666666667,23
161,5471,Airport,17.0,Trip Completed,2016-07-15 04:48:57,2016-07-15 05:47:13,04:48:57,05:47:13,4,Friday,15,4,48,-58.266666666666666,4
162,5988,Airport,17.0,Trip Completed,2016-07-15 11:48:32,2016-07-15 12:55:02,11:48:32,12:55:02,4,Friday,15,11,48,-66.5,11
163,6477,Airport,17.0,Trip Completed,2016-07-15 20:21:26,2016-07-15 21:00:31,20:21:26,21:00:31,4,Friday,15,20,21,-39.083333333333336,20
164,499,City,18.0,Trip Completed,2016-11-07 09:39:00,2016-11-07 10:16:00,09:39:00,10:16:00,0,Monday,7,9,39,-37.0,9
165,1147,Airport,18.0,Trip Completed,2016-11-07 20:42:00,2016-11-07 21:18:00,20:42:00,21:18:00,0,Monday,7,20,42,-36.0,20
166,1410,Airport,18.0,Trip Completed,2016-12-07 03:14:00,2016-12-07 04:27:00,03:14:00,04:27:00,2,Wednesday,7,3,14,-73.0,3
167,1804,Airport,18.0,Trip Completed,2016-12-07 09:12:00,2016-12-07 09:57:00,09:12:00,09:57:00,2,Wednesday,7,9,12,-45.0,9
168,1949,Airport,18.0,Trip Completed,2016-12-07 11:32:00,2016-12-07 12:13:00,11:32:00,12:13:00,2,Wednesday,7,11,32,-41.0,11
169,2713,City,18.0,Trip Completed,2016-07-13 01:46:42,2016-07-13 02:37:08,01:46:42,02:37:08,2,Wednesday,13,1,46,-50.43333333333333,1
170,2845,City,18.0,Trip Completed,2016-07-13 05:28:29,2016-07-13 06:10:40,05:28:29,06:10:40,2,Wednesday,13,5,28,-42.18333333333333,5
171,3943,Airport,18.0,Trip Completed,2016-07-13 22:35:38,2016-07-13 23:33:20,22:35:38,23:33:20,2,Wednesday,13,22,35,-57.7,22
172,4792,City,18.0,Trip Completed,2016-07-14 16:47:15,2016-07-14 17:34:39,16:47:15,17:34:39,3,Thursday,14,16,47,-47.4,16
173,5207,Airport,18.0,Trip Completed,2016-07-14 20:57:41,2016-07-14 21:56:21,20:57:41,21:56:21,3,Thursday,14,20,57,-58.666666666666664,20
174,5890,City,18.0,Trip Completed,2016-07-15 09:43:57,2016-07-15 10:55:22,09:43:57,10:55:22,4,Friday,15,9,43,-71.41666666666667,9
